"var_main_effect","var_inter_effect","cov_main_inter_effect","var_total_effect","GCTA_main","GCTA_inter","sub_GCTA_main","sub_GCTA_inter","GCTA_main.1","GCTA_inter.1","sub_GCTA_main.1","sub_GCTA_inter.1","x_dist","structure","p","n","main_fixed_var","main_random_var","inter_fixed_var","inter_random_var","reduce_coef","last","interact","decor","combine","pro","bs","n_sub","rho_e","emp_n","inter_std","i"
9.99999999999999,0,0,0,15.3205676227776,0,0,0,15.3205676227776,0,0,0,"normal","un",1000,100,0.5,0,0,0,1,FALSE,0,TRUE,FALSE,101,"leave-1",100,0.5,1e+05,TRUE,1
9.99999999999999,0,0,0,15.3205676227776,0,15.2990326143001,0,15.3205676227776,0,15.2990326143001,0,"normal","un",1000,100,0.5,0,0,0,1,FALSE,0,TRUE,FALSE,101,"leave-1",100,0.5,1e+05,TRUE,1
9.99999999999999,0,0,0,15.3205676227776,0,15.3979034160006,0,15.3205676227776,0,15.3979034160006,0,"normal","un",1000,100,0.5,0,0,0,1,FALSE,0,TRUE,FALSE,101,"leave-1",100,0.5,1e+05,TRUE,1
9.99999999999999,0,0,0,15.3205676227776,0,15.4397548192587,0,15.3205676227776,0,15.4397548192587,0,"normal","un",1000,100,0.5,0,0,0,1,FALSE,0,TRUE,FALSE,101,"leave-1",100,0.5,1e+05,TRUE,1
9.99999999999999,0,0,0,15.3205676227776,0,15.400750617336,0,15.3205676227776,0,15.400750617336,0,"normal","un",1000,100,0.5,0,0,0,1,FALSE,0,TRUE,FALSE,101,"leave-1",100,0.5,1e+05,TRUE,1
9.99999999999999,0,0,0,15.3205676227776,0,15.476812616081,0,15.3205676227776,0,15.476812616081,0,"normal","un",1000,100,0.5,0,0,0,1,FALSE,0,TRUE,FALSE,101,"leave-1",100,0.5,1e+05,TRUE,1
9.99999999999999,0,0,0,15.3205676227776,0,0,0,15.3205676227776,0,0,0,"normal","un",1000,100,0.5,0,0,0,1,FALSE,0,TRUE,FALSE,101,"leave-1",100,0.5,1e+05,TRUE,1
9.99999999999999,0,0,0,15.3205676227776,0,0,0,15.3205676227776,0,0,0,"normal","un",1000,100,0.5,0,0,0,1,FALSE,0,TRUE,FALSE,101,"leave-1",100,0.5,1e+05,TRUE,1
9.99999999999999,0,0,0,15.3205676227776,0,0,0,15.3205676227776,0,0,0,"normal","un",1000,100,0.5,0,0,0,1,FALSE,0,TRUE,FALSE,101,"leave-1",100,0.5,1e+05,TRUE,1
9.99999999999999,0,0,0,15.3205676227776,0,15.413026157218,0,15.3205676227776,0,15.413026157218,0,"normal","un",1000,100,0.5,0,0,0,1,FALSE,0,TRUE,FALSE,101,"leave-1",100,0.5,1e+05,TRUE,1
